id,key,value,type
149511115,ref,562,regular
149511186,material,metal,regular
149511186,power,tower,regular
149511186,structure,tubular,regular
149511188,material,metal,regular
149511188,power,tower,regular
149511188,structure,tubular,regular
149511190,material,metal,regular
149511190,power,tower,regular
149511190,structure,tubular,regular
149511192,material,metal,regular
149511192,power,tower,regular
149511192,structure,tubular,regular
149511194,material,metal,regular
149511194,power,tower,regular
149511194,structure,tubular,regular
149511196,material,metal,regular
149511196,power,tower,regular
149511196,structure,tubular,regular
149511198,material,metal,regular
149511198,power,tower,regular
149511198,structure,tubular,regular
149511199,material,metal,regular
149511199,power,tower,regular
149511199,structure,tubular,regular
149511200,material,metal,regular
149511200,power,tower,regular
149511200,structure,tubular,regular
149511201,material,metal,regular
149511201,power,tower,regular
149511201,structure,tubular,regular
149511206,material,metal,regular
149511206,power,tower,regular
149511206,structure,tubular,regular
149511220,power,tower,regular
149511221,power,tower,regular
149511225,power,tower,regular
149511229,power,tower,regular
149511310,highway,motorway_junction,regular
149511310,ref,150A,regular
149511321,highway,motorway_junction,regular
149511321,ref,53,regular
149511326,highway,motorway_junction,regular
149511338,highway,motorway_junction,regular
149511338,noref,yes,regular
149511371,highway,motorway_junction,regular
149511371,noref,yes,regular
149511523,highway,motorway_junction,regular
149511523,noref,yes,regular
149511840,highway,motorway_junction,regular
149511840,ref,31A,regular
149512144,highway,motorway_junction,regular
149512144,noref,yes,regular
149512281,highway,motorway_junction,regular
149512281,ref,139,regular
149512422,highway,traffic_signals,regular
149512441,highway,motorway_junction,regular
149512441,noref,yes,regular
149512624,highway,turning_circle,regular
149513084,highway,motorway_junction,regular
149513084,noref,yes,regular
149513183,highway,motorway_junction,regular
149513183,ref,159B,regular
149513187,highway,motorway_junction,regular
149513187,ref,21B,regular
149513322,highway,motorway_junction,regular
149513322,ref,159B,regular
149513617,highway,turning_circle,regular
149513624,highway,turning_circle,regular
149514427,highway,motorway_junction,regular
149514427,ref,8,regular
149514435,highway,motorway_junction,regular
149514435,noref,yes,regular
149514441,highway,motorway_junction,regular
149514441,ref,15,regular
149514519,highway,motorway_junction,regular
149514519,ref,573,regular
149514534,highway,traffic_signals,regular
149514792,highway,traffic_signals,regular
149514965,highway,traffic_signals,regular
149515053,highway,motorway_junction,regular
149515053,noref,yes,regular
149516348,highway,motorway_junction,regular
149516348,noref,yes,regular
149516799,highway,motorway_junction,regular
149516799,ref,35,regular
149517573,power,tower,regular
149517575,power,tower,regular
149517579,power,tower,regular
149517822,highway,motorway_junction,regular
149517822,noref,yes,regular
149517840,highway,turning_circle,regular
149517910,highway,motorway_junction,regular
149517910,ref,7,regular
149518016,highway,motorway_junction,regular
149518016,ref,160,regular
149518028,highway,motorway_junction,regular
149518028,ref,161,regular
149518034,highway,motorway_junction,regular
149518034,ref,163,regular
149518051,highway,motorway_junction,regular
149518051,noref,yes,regular
149518096,highway,motorway_junction,regular
149518096,ref,573,regular
149518619,highway,turning_circle,regular
149518627,highway,motorway_junction,regular
149518627,ref,49,regular
149518839,highway,motorway_junction,regular
149518839,noref,yes,regular
149518873,highway,traffic_signals,regular
149519107,highway,motorway_junction,regular
149519107,ref,169,regular
149519137,highway,motorway_junction,regular
149519137,ref,168,regular
149519171,highway,motorway_junction,regular
149519171,ref,34,regular
149519185,highway,motorway_junction,regular
149519185,ref,35,regular
149519344,railway,level_crossing,regular
149519495,highway,motorway_junction,regular
149519495,left,27,ref
149519495,right,26B,ref
149519585,highway,motorway_junction,regular
149519585,ref,142A,regular
149519684,highway,stop,regular
149519684,stop,all,regular
149520231,highway,motorway_junction,regular
149520231,noref,yes,regular
149521125,highway,motorway_junction,regular
149521125,ref,14C,regular
149521274,highway,motorway_junction,regular
149521274,ref,3A,regular
149521445,highway,motorway_junction,regular
149521445,ref,3B,regular
149521455,highway,motorway_junction,regular
149521455,noref,yes,regular
149521523,highway,turning_circle,regular
149521538,railway,level_crossing,regular
149521595,highway,motorway_junction,regular
149521595,ref,160,regular
149521983,highway,traffic_signals,regular
149521989,highway,traffic_signals,regular
149522020,highway,motorway_junction,regular
149522020,ref,17B,regular
149522167,highway,motorway_junction,regular
149522167,ref,44,regular
149522895,highway,traffic_signals,regular
149522933,highway,motorway_junction,regular
149522933,ref,164B,regular
149523137,power,tower,regular
149523138,power,tower,regular
149523139,power,tower,regular
149523141,power,tower,regular
149523143,power,tower,regular
149523145,power,tower,regular
149523147,power,tower,regular
149523149,power,tower,regular
149523300,highway,motorway_junction,regular
149523300,ref,170,regular
149523317,highway,motorway_junction,regular
149523317,noref,yes,regular
149523374,highway,turning_circle,regular
149523451,highway,motorway_junction,regular
149523451,noref,yes,regular
149523676,highway,motorway_junction,regular
149523676,ref,138C,regular
149523981,highway,motorway_junction,regular
149523981,ref,153,regular
149523994,highway,motorway_junction,regular
149523994,noref,yes,regular
149524027,highway,motorway_junction,regular
149524027,noref,yes,regular
149524624,highway,motorway_junction,regular
149524624,ref,9,regular
149524681,highway,motorway_junction,regular
149524681,ref,14,regular
149524693,highway,motorway_junction,regular
149524693,ref,13,regular
149524697,highway,motorway_junction,regular
149524697,ref,11,regular
149524714,highway,motorway_junction,regular
149524714,ref,566B,regular
149524770,highway,motorway_junction,regular
149524770,ref,2,regular
149525038,power,tower,regular
